Pod_Name,GPUMemAve,GPUMemMax,GPUUtilAve,GPUPowerAve
d86a9a6002353011ec08b01045e6de32e845-c07-0,0,0,0.010,42.250
e50f6cf002349011ec095370e5a7ed273c06-c016-0,0,0,0.000,43.170
b987bd4002393011ec08b01045e6de32e845-g022-0,11111,12558,76.710,105.770
df0b74d00238e011ec08b01045e6de32e845-weidq970-0,416,418,62.780,200.050
c3c5cf4002393011ec08bb20f3128d160513-weidq970-0,413,418,73.380,247.760
bafda2d002390011ec08b01045e6de32e845-c07-0,17649,20074,70.410,194.060
ef0171100238c011ec08bb20f3128d160513-g014-0,2907,32444,3.940,66.820
b987bd4002393011ec08b01045e6de32e845-g021-0,11136,12498,78.970,94.420
e717e7700236d011ec095370e5a7ed273c06-g018-0,0,13,0.030,50.370
c3c728a002389011ec08b01045e6de32e845-g09-0,1232,1390,0.000,66.680
b2f3598002392011ec08b01045e6de32e845-g07-0,438,1666,24.140,48.980
b09d936002376011ec08b01045e6de32e845-g011-0,11996,26830,43.990,78.020
b987bd4002393011ec08b01045e6de32e845-g07-0,11115,12498,79.120,96.920
cda22ac002396011ec08bb20f3128d160513-g00-0,1280,1370,0.020,66.800
f99c9ab00238d011ec08bb20f3128d160513-g01-0,1,25,0.020,43.760
e717e7700236d011ec095370e5a7ed273c06-g08-0,1,13,0.020,50.670
fec359100234a011ec095370e5a7ed273c06-c03-0,0,0,0.030,50.370
d6c7f2b002394011ec095370e5a7ed273c06-g01-0,794,1242,0.000,47.040
d6c7f2b002394011ec095370e5a7ed273c06-g06-0,813,1242,0.170,45.450
b2b0080002390011ec08b01045e6de32e845-c022-0,14816,20012,68.360,111.780
c1524b000237c011ec08b01045e6de32e845-g017-0,8870,26444,33.850,74.150
b2b0080002390011ec08b01045e6de32e845-c018-0,15717,20168,71.430,122.910
b2b0080002390011ec08b01045e6de32e845-c03-0,15752,21950,68.810,118.980
b2f3598002392011ec08b01045e6de32e845-g08-0,606,1976,20.690,49.490
e717e7700236d011ec095370e5a7ed273c06-g05-0,0,5,0.000,49.340
e4de720002396011ec08b01045e6de32e845-g011-0,317,1242,0.300,43.890
c3c728a002389011ec08b01045e6de32e845-g012-0,1223,1390,0.000,67.680
c3c728a002389011ec08b01045e6de32e845-g04-0,1233,1390,0.000,67.900
b74c66a002381011ec08bb20f3128d160513-g018-0,12512,23100,50.880,78.230
b987bd4002393011ec08b01045e6de32e845-g08-0,11112,12578,77.790,103.100
ec6874e00fc1b011eb0b78b029bb3a17e6fc-yuzhfpry490-0,27427,28070,0.000,47.610
c1524b000237c011ec08b01045e6de32e845-g013-0,8790,26444,28.660,77.710
b91859100234b011ec095370e5a7ed273c06-c012-0,0,0,0.000,50.520
d86a9a6002353011ec08b01045e6de32e845-c09-0,0,0,0.000,42.340
bb6ccdc00238f011ec08bb20f3128d160513-c02-0,17737,20186,78.400,194.660
b2f3598002392011ec08b01045e6de32e845-g016-0,606,1976,20.690,51.020
b987bd4002393011ec08b01045e6de32e845-g014-0,11148,12558,78.720,100.430
e4de720002396011ec08b01045e6de32e845-g015-0,331,1242,0.280,44.560
b74c66a002381011ec08bb20f3128d160513-g010-0,12573,23110,53.630,83.130
e1c6b16002374011ec08b01045e6de32e845-xuf1384-0,3211,24950,4.960,63.320
e69ab68002393011ec095370e5a7ed273c06-weidq970-0,413,418,71.040,242.620
fec359100234a011ec095370e5a7ed273c06-c013-0,25,307,0.190,50.250
b2b0080002390011ec08b01045e6de32e845-c023-0,15755,20168,66.960,119.150
